Id,arName,enName,arDesc,enDesc,keywords,rank,status,type
,الخط الساخن,Hotline,,Root,,1,PUBLISHED,100
,قائمة الطعام,menus,,Root,,1,PUBLISHED,200
,العروض,offers,,Root,,1,PUBLISHED,300
,الاتصال,Contact,,Root,,1,PUBLISHED,400
,الخط الساخن,Hotline,,Favorite,,1,PUBLISHED,2000
,العروض,offers,,Favorite,,1,PUBLISHED,2000
,الاتصال,Contact,,Favorite,,1,PUBLISHED,2000
,عروض سوبر ماركت,Super Markets offers,,Offers,,1,PUBLISHED,3001
,عروض إلكترونيات,Electronics offers,,Offers,,1,PUBLISHED,3001
,عروض أثاث,Furniture offers,,Offers,,1,PUBLISHED,3001
,عروض الصيدليات,Pharmacies offers,,Offers,,1,PUBLISHED,3001
,هاتف,Phone,,,,1,PUBLISHED,4001
,عنوان,Address,,,,2,PUBLISHED,4001
,ابواب وشبابيك - اكسسوار,Doors & Windows - Hardware,,,,1,PUBLISHED,1001
,اتصالات ومعدات اتصال وخدمات,Telecommunications,,,,1,PUBLISHED,1001
,اتوبيسات شارتر ومحطات,Bus Charters & Stations,,,,1,PUBLISHED,1001
,اثاث منزلى ومكتبى واثاث حدائق,"Furniture - Home, Office & Garden",,,,1,PUBLISHED,1001
,اجهزة منزلية,Appliances,,,,1,PUBLISHED,1001
,اجهزة منزلية - صيانة وقطع غيار,Appliances - Maintenance & Spare Parts,,,,1,PUBLISHED,1001
,احذية وشنط محلات,Shoes & Bags Retail,,,,1,PUBLISHED,1001
,ادارة مشروعات,Project Management,,,,1,PUBLISHED,1001
,ادارة منشاءات,Facility Management,,,,1,PUBLISHED,1001
,ادوات صحية - سباكة معدات وسباكون,"Sanitaryware, Plumbing Equipment & Plumbers",,,,1,PUBLISHED,1001
,ادوات مكتبية,Stationery,,,,1,PUBLISHED,1001
,ادوات منزلية منتجات,Housewares Products,,,,1,PUBLISHED,1001
,ادوية شركات,Pharmaceutical Companies,,,,1,PUBLISHED,1001
,ارضيات,Flooring,,,,1,PUBLISHED,1001
,ارفف ومخازن,Shelving & Storage Systems,,,,1,PUBLISHED,1001
,ارقام طوارئ,Emergency Numbers,,,,1,PUBLISHED,1001
,استثمار شركات,Investment Companies,,,,1,PUBLISHED,1001
,اسقف,Ceilings,,,,1,PUBLISHED,1001
,اسمنت وخرسانة وجبس وطوب ومعدات,"Cement & Concrete, Gypsum, Brick & Equipment",,,,1,PUBLISHED,1001
,اسهم وسندات سماسرة,Stock & Bond Brokers,,,,1,PUBLISHED,1001
,اشعة مراكز,Radiology,,,,1,PUBLISHED,1001
,اضاءة انظمة ولمبات ونجف,"Lighting Systems, Lamps, Chandeliers & Bulbs",,,,1,PUBLISHED,1001
,اطارات,Tires,,,,1,PUBLISHED,1001
,اطباء,Doctors,,,,1,PUBLISHED,1001
,اطباء اشعة,Doctors - X-Ray,,,,1,PUBLISHED,1001
,اطباء اورام وعلاج كيميائى,Doctors - Oncologists,,,,1,PUBLISHED,1001
,اطباء رمد,Doctors - Ophthalmologists,,,,1,PUBLISHED,1001
,اطباء مناظير الجهاز الهضمى,Doctors - Gastroenterologists & Endoscopy,,,,1,PUBLISHED,1001
,اطراف صناعية,Artificial Limbs,,,,1,PUBLISHED,1001
,اطفال - ملابس ومستلزمات,Kids Clothing & Accessories,,,,1,PUBLISHED,1001
,اعلان - وكالات,Advertising Agencies,,,,1,PUBLISHED,1001
,اغذية حيوانات,Animal Feed,,,,1,PUBLISHED,1001
,اغذية منتجون ومعالجة ومعدات,"Food Producers, Processors & Equipment",,,,1,PUBLISHED,1001
,اقفال,Locksmiths,,,,1,PUBLISHED,1001
,اقمار صناعية وريسيفر معدات,Satellite & Receiving Equipment,,,,1,PUBLISHED,1001
,اكسسوارات حريمى,Women Accessories,,,,1,PUBLISHED,1001
,البان منتجات - مصنعون,Dairy Industry,,,,1,PUBLISHED,1001
,الومنيوم,Aluminum,,,,1,PUBLISHED,1001
,اماكن ليلية,Night Spots,,,,1,PUBLISHED,1001
,انترنت شركات ومصممون مواقع,Internet Companies & Website Design,,,,1,PUBLISHED,1001
,انشاءات ومقاولات,Construction,,,,1,PUBLISHED,1001
,انظمة امنية و كاميرات مراقبة,Security Cameras & Systems,,,,1,PUBLISHED,1001
,اوناش انقاذ,Towing,,,,1,PUBLISHED,1001
,اوناش ورافعات,"Forklifts, Cranes & Hoists",,,,1,PUBLISHED,1001
,ايس كريم والبان,Ice Cream & Dairy,,,,1,PUBLISHED,1001
,بترول وغاز شركات - خدمات وخدمات داخل البحر شركات,"Oil & Gas Companies, Services & Offshore Services",,,,1,PUBLISHED,1001
,بحرية وملاحة ومراكب,"Marine, Navigation & Boating",,,,1,PUBLISHED,1001
,بريد سريع خدمات,Courier Services,,,,1,PUBLISHED,1001
,بطاريات,Batteries,,,,1,PUBLISHED,1001
